127.0.0.1 - - [11/Mar/2024:14:01:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:01:48 +0530] "GET /BillingSystem/home.html HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:01:48 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:01:48 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:02:35 +0530] "GET /BillingSystem/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:02:36 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:02:36 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:06:20 +0530] "GET /BillingSystem/home.html HTTP/1.1" 200 5212
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:06:21 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:06:21 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:08:39 +0530] "GET /BillingSystem/home.html HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:08:39 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:08:39 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:10:28 +0530] "GET /BillingSystem/home.html HTTP/1.1" 200 5232
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:10:28 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:10:28 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:10:37 +0530] "GET /BillingSystem/clientDetails.html HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:26 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:26 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:26 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:13:06 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:13:07 +0530] "GET /BillingSystem/image.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:16:25 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:16:25 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:16:25 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 200 2765894
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:16:50 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:16:50 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:16:50 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:14 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
